metric,gap,mean,std
vis/inner/acc_val,0,0.9957,0.0001
vis/inner/acc_val,10,0.8895,0.0012
vis/inner/acc_val,20,0.8572,0.0027
vis/inner/acc_val,50,0.7845,0.0025
vis/inner/acc_val,100,0.7470,0.0026
text/inner/acc_val,0,0.9989,0.0002
text/inner/acc_val,10,0.8397,0.0019
text/inner/acc_val,20,0.7986,0.0028
text/inner/acc_val,50,0.7451,0.0012
text/inner/acc_val,100,0.6895,0.0022
port/acc_val,0,0.7850,0.0021
port/acc_val,10,0.5809,0.0024
port/acc_val,20,0.5548,0.0013
port/acc_val,50,0.5260,0.0012
port/acc_val,100,0.4903,0.0022
vis/edit/acc_val,0,0.9813,0.0006
vis/edit/acc_val,10,0.8110,0.0025
vis/edit/acc_val,20,0.7745,0.0020
vis/edit/acc_val,50,0.7143,0.0025
vis/edit/acc_val,100,0.6748,0.0019
vis/image_rephrase/acc_val,0,0.9916,0.0007
vis/image_rephrase/acc_val,10,0.8404,0.0010
vis/image_rephrase/acc_val,20,0.8011,0.0027
vis/image_rephrase/acc_val,50,0.7408,0.0014
vis/image_rephrase/acc_val,100,0.7013,0.0016
vis/loc/acc_val,0,0.3874,0.0038
vis/loc/acc_val,10,0.3773,0.0037
vis/loc/acc_val,20,0.3648,0.0034
vis/loc/acc_val,50,0.3415,0.0024
vis/loc/acc_val,100,0.3104,0.0064
vis/image_loc/acc_val,0,0.0621,0.0025
vis/image_loc/acc_val,10,0.0605,0.0022
vis/image_loc/acc_val,20,0.0575,0.0023
vis/image_loc/acc_val,50,0.0504,0.0020
vis/image_loc/acc_val,100,0.0432,0.0014
text/edit/acc_val,0,0.9908,0.0007
text/edit/acc_val,10,0.7616,0.0017
text/edit/acc_val,20,0.7136,0.0015
text/edit/acc_val,50,0.6514,0.0013
text/edit/acc_val,100,0.6151,0.0014
text/loc/acc_val,0,0.3874,0.0038
text/loc/acc_val,10,0.3773,0.0037
text/loc/acc_val,20,0.3648,0.0034
text/loc/acc_val,50,0.3415,0.0024
text/loc/acc_val,100,0.3104,0.0064
