metric,gap,mean,std
vis/inner/acc_val,0,0.0811,0.0055
vis/inner/acc_val,10,0.0627,0.0052
vis/inner/acc_val,20,0.0490,0.0042
vis/inner/acc_val,50,0.0144,0.0010
vis/inner/acc_val,100,0.0039,0.0014
text/inner/acc_val,0,0.0729,0.0060
text/inner/acc_val,10,0.0671,0.0104
text/inner/acc_val,20,0.0564,0.0067
text/inner/acc_val,50,0.0236,0.0023
text/inner/acc_val,100,0.0062,0.0031
port/acc_val,0,0.0477,0.0029
port/acc_val,10,0.0362,0.0030
port/acc_val,20,0.0245,0.0040
port/acc_val,50,0.0080,0.0016
port/acc_val,100,0.0012,0.0006
vis/edit/acc_val,0,0.0760,0.0048
vis/edit/acc_val,10,0.0568,0.0033
vis/edit/acc_val,20,0.0452,0.0047
vis/edit/acc_val,50,0.0153,0.0015
vis/edit/acc_val,100,0.0043,0.0021
vis/image_rephrase/acc_val,0,0.0793,0.0047
vis/image_rephrase/acc_val,10,0.0608,0.0050
vis/image_rephrase/acc_val,20,0.0448,0.0038
vis/image_rephrase/acc_val,50,0.0134,0.0019
vis/image_rephrase/acc_val,100,0.0033,0.0005
vis/loc/acc_val,0,0.1525,0.0169
vis/loc/acc_val,10,0.1304,0.0183
vis/loc/acc_val,20,0.1200,0.0135
vis/loc/acc_val,50,0.0623,0.0086
vis/loc/acc_val,100,0.0218,0.0125
vis/image_loc/acc_val,0,0.0549,0.0017
vis/image_loc/acc_val,10,0.0364,0.0023
vis/image_loc/acc_val,20,0.0222,0.0016
vis/image_loc/acc_val,50,0.0060,0.0012
vis/image_loc/acc_val,100,0.0020,0.0009
text/edit/acc_val,0,0.0701,0.0055
text/edit/acc_val,10,0.0629,0.0061
text/edit/acc_val,20,0.0499,0.0056
text/edit/acc_val,50,0.0218,0.0037
text/edit/acc_val,100,0.0047,0.0017
text/loc/acc_val,0,0.1525,0.0169
text/loc/acc_val,10,0.1304,0.0183
text/loc/acc_val,20,0.1200,0.0135
text/loc/acc_val,50,0.0623,0.0086
text/loc/acc_val,100,0.0218,0.0125
