metric,gap,mean,std
vis/inner/acc_val,0,0.9980,0.0002
vis/inner/acc_val,10,0.7636,0.0021
vis/inner/acc_val,20,0.7324,0.0017
vis/inner/acc_val,50,0.6748,0.0022
vis/inner/acc_val,100,0.6479,0.0014
text/inner/acc_val,0,1.0000,0.0000
text/inner/acc_val,10,0.9118,0.0031
text/inner/acc_val,20,0.8611,0.0019
text/inner/acc_val,50,0.8091,0.0015
text/inner/acc_val,100,0.7771,0.0013
port/acc_val,0,0.4764,0.0017
port/acc_val,10,0.4494,0.0039
port/acc_val,20,0.4211,0.0046
port/acc_val,50,0.3986,0.0041
port/acc_val,100,0.3668,0.0032
vis/edit/acc_val,0,0.9974,0.0004
vis/edit/acc_val,10,0.7468,0.0006
vis/edit/acc_val,20,0.7206,0.0011
vis/edit/acc_val,50,0.6677,0.0017
vis/edit/acc_val,100,0.6366,0.0008
vis/image_rephrase/acc_val,0,0.9949,0.0001
vis/image_rephrase/acc_val,10,0.7364,0.0010
vis/image_rephrase/acc_val,20,0.7095,0.0006
vis/image_rephrase/acc_val,50,0.6588,0.0012
vis/image_rephrase/acc_val,100,0.6264,0.0015
vis/loc/acc_val,0,0.4436,0.0029
vis/loc/acc_val,10,0.4314,0.0041
vis/loc/acc_val,20,0.4243,0.0049
vis/loc/acc_val,50,0.4044,0.0027
vis/loc/acc_val,100,0.3612,0.0042
vis/image_loc/acc_val,0,0.0447,0.0011
vis/image_loc/acc_val,10,0.0412,0.0014
vis/image_loc/acc_val,20,0.0393,0.0007
vis/image_loc/acc_val,50,0.0324,0.0003
vis/image_loc/acc_val,100,0.0255,0.0005
text/edit/acc_val,0,0.9778,0.0011
text/edit/acc_val,10,0.7520,0.0029
text/edit/acc_val,20,0.6962,0.0016
text/edit/acc_val,50,0.6483,0.0015
text/edit/acc_val,100,0.6261,0.0018
text/loc/acc_val,0,0.4432,0.0028
text/loc/acc_val,10,0.4304,0.0040
text/loc/acc_val,20,0.4238,0.0049
text/loc/acc_val,50,0.4044,0.0028
text/loc/acc_val,100,0.3612,0.0035
