metric,gap,mean,std
vis/inner/acc_val,0,0.9989,0.0004
vis/inner/acc_val,10,0.7688,0.0083
vis/inner/acc_val,20,0.7319,0.0071
vis/inner/acc_val,50,0.6972,0.0045
vis/inner/acc_val,100,0.6771,0.0061
text/inner/acc_val,0,1.0000,0.0000
text/inner/acc_val,10,0.7825,0.0177
text/inner/acc_val,20,0.7060,0.0147
text/inner/acc_val,50,0.6573,0.0073
text/inner/acc_val,100,0.6131,0.0082
port/acc_val,0,0.7047,0.0259
port/acc_val,10,0.5780,0.0093
port/acc_val,20,0.5502,0.0057
port/acc_val,50,0.5443,0.0035
port/acc_val,100,0.5250,0.0073
vis/edit/acc_val,0,0.9682,0.0069
vis/edit/acc_val,10,0.7450,0.0047
vis/edit/acc_val,20,0.7167,0.0041
vis/edit/acc_val,50,0.6871,0.0047
vis/edit/acc_val,100,0.6674,0.0058
vis/image_rephrase/acc_val,0,0.9990,0.0005
vis/image_rephrase/acc_val,10,0.7670,0.0087
vis/image_rephrase/acc_val,20,0.7299,0.0071
vis/image_rephrase/acc_val,50,0.6942,0.0040
vis/image_rephrase/acc_val,100,0.6740,0.0067
vis/loc/acc_val,0,0.6515,0.0104
vis/loc/acc_val,10,0.6310,0.0269
vis/loc/acc_val,20,0.6433,0.0139
vis/loc/acc_val,50,0.6276,0.0105
vis/loc/acc_val,100,0.6164,0.0140
vis/image_loc/acc_val,0,0.1499,0.0078
vis/image_loc/acc_val,10,0.1419,0.0124
vis/image_loc/acc_val,20,0.1433,0.0063
vis/image_loc/acc_val,50,0.1361,0.0076
vis/image_loc/acc_val,100,0.1296,0.0108
text/edit/acc_val,0,0.9879,0.0057
text/edit/acc_val,10,0.7153,0.0157
text/edit/acc_val,20,0.6528,0.0147
text/edit/acc_val,50,0.6310,0.0081
text/edit/acc_val,100,0.5988,0.0074
text/loc/acc_val,0,0.6515,0.0104
text/loc/acc_val,10,0.6310,0.0269
text/loc/acc_val,20,0.6433,0.0139
text/loc/acc_val,50,0.6276,0.0105
text/loc/acc_val,100,0.6164,0.0140
