metric,gap,mean,std
vis/inner/acc_val,0,0.1100,0.0039
vis/inner/acc_val,10,0.0975,0.0037
vis/inner/acc_val,20,0.0850,0.0032
vis/inner/acc_val,50,0.0528,0.0034
vis/inner/acc_val,100,0.0113,0.0029
text/inner/acc_val,0,0.0967,0.0041
text/inner/acc_val,10,0.0874,0.0019
text/inner/acc_val,20,0.0790,0.0025
text/inner/acc_val,50,0.0466,0.0043
text/inner/acc_val,100,0.0084,0.0015
port/acc_val,0,0.0837,0.0018
port/acc_val,10,0.0772,0.0026
port/acc_val,20,0.0720,0.0018
port/acc_val,50,0.0392,0.0031
port/acc_val,100,0.0088,0.0019
vis/edit/acc_val,0,0.1111,0.0039
vis/edit/acc_val,10,0.0978,0.0039
vis/edit/acc_val,20,0.0864,0.0026
vis/edit/acc_val,50,0.0552,0.0041
vis/edit/acc_val,100,0.0105,0.0028
vis/image_rephrase/acc_val,0,0.1073,0.0044
vis/image_rephrase/acc_val,10,0.0962,0.0028
vis/image_rephrase/acc_val,20,0.0851,0.0019
vis/image_rephrase/acc_val,50,0.0530,0.0038
vis/image_rephrase/acc_val,100,0.0120,0.0035
vis/loc/acc_val,0,0.2019,0.0052
vis/loc/acc_val,10,0.1819,0.0060
vis/loc/acc_val,20,0.1631,0.0050
vis/loc/acc_val,50,0.1053,0.0059
vis/loc/acc_val,100,0.0205,0.0048
vis/image_loc/acc_val,0,0.1188,0.0023
vis/image_loc/acc_val,10,0.1007,0.0022
vis/image_loc/acc_val,20,0.0840,0.0021
vis/image_loc/acc_val,50,0.0410,0.0020
vis/image_loc/acc_val,100,0.0043,0.0011
text/edit/acc_val,0,0.0904,0.0032
text/edit/acc_val,10,0.0836,0.0020
text/edit/acc_val,20,0.0738,0.0019
text/edit/acc_val,50,0.0449,0.0041
text/edit/acc_val,100,0.0071,0.0010
text/loc/acc_val,0,0.2019,0.0052
text/loc/acc_val,10,0.1819,0.0060
text/loc/acc_val,20,0.1631,0.0050
text/loc/acc_val,50,0.1053,0.0059
text/loc/acc_val,100,0.0205,0.0048
