metric,gap,mean,std
vis/inner/acc_val,0,0.9957,0.0001
vis/inner/acc_val,10,0.8895,0.0012
vis/inner/acc_val,20,0.8618,0.0000
vis/inner/acc_val,50,0.7863,0.0000
vis/inner/acc_val,100,0.7476,0.0000
vis/edit/acc_val,0,0.9813,0.0006
vis/edit/acc_val,10,0.8110,0.0025
vis/edit/acc_val,20,0.7783,0.0000
vis/edit/acc_val,50,0.7187,0.0000
vis/edit/acc_val,100,0.6779,0.0000
vis/image_rephrase/acc_val,0,0.9916,0.0007
vis/image_rephrase/acc_val,10,0.8404,0.0010
vis/image_rephrase/acc_val,20,0.8027,0.0000
vis/image_rephrase/acc_val,50,0.7410,0.0000
vis/image_rephrase/acc_val,100,0.7040,0.0000
vis/loc/acc_val,0,0.3874,0.0038
vis/loc/acc_val,10,0.3773,0.0037
vis/loc/acc_val,20,0.3630,0.0000
vis/loc/acc_val,50,0.3375,0.0000
vis/loc/acc_val,100,0.3022,0.0000
vis/image_loc/acc_val,0,0.0621,0.0025
vis/image_loc/acc_val,10,0.0605,0.0022
vis/image_loc/acc_val,20,0.0619,0.0000
vis/image_loc/acc_val,50,0.0542,0.0000
vis/image_loc/acc_val,100,0.0454,0.0000
text/inner/acc_val,0,0.9989,0.0002
text/inner/acc_val,10,0.8397,0.0019
text/inner/acc_val,20,0.7960,0.0000
text/inner/acc_val,50,0.7455,0.0000
text/inner/acc_val,100,0.6881,0.0000
text/edit/acc_val,0,0.9908,0.0007
text/edit/acc_val,10,0.7616,0.0017
text/edit/acc_val,20,0.7146,0.0000
text/edit/acc_val,50,0.6515,0.0000
text/edit/acc_val,100,0.6174,0.0000
text/loc/acc_val,0,0.3874,0.0038
text/loc/acc_val,10,0.3773,0.0037
text/loc/acc_val,20,0.3630,0.0000
text/loc/acc_val,50,0.3375,0.0000
text/loc/acc_val,100,0.3022,0.0000
port/acc_val,0,0.7850,0.0021
port/acc_val,10,0.5809,0.0024
port/acc_val,20,0.5544,0.0000
port/acc_val,50,0.5276,0.0000
port/acc_val,100,0.4906,0.0000
