metric,gap,mean,std
vis/inner/acc_val,0,0.9956,0.0023
vis/inner/acc_val,10,0.7806,0.0063
vis/inner/acc_val,20,0.7343,0.0112
vis/inner/acc_val,50,0.6960,0.0078
vis/inner/acc_val,100,0.6762,0.0053
vis/edit/acc_val,0,0.9625,0.0069
vis/edit/acc_val,10,0.7420,0.0089
vis/edit/acc_val,20,0.7127,0.0074
vis/edit/acc_val,50,0.6870,0.0024
vis/edit/acc_val,100,0.6627,0.0033
vis/image_rephrase/acc_val,0,0.9953,0.0022
vis/image_rephrase/acc_val,10,0.7786,0.0063
vis/image_rephrase/acc_val,20,0.7311,0.0101
vis/image_rephrase/acc_val,50,0.6954,0.0076
vis/image_rephrase/acc_val,100,0.6742,0.0067
vis/loc/acc_val,0,0.6584,0.0451
vis/loc/acc_val,10,0.6698,0.0320
vis/loc/acc_val,20,0.6528,0.0316
vis/loc/acc_val,50,0.6574,0.0378
vis/loc/acc_val,100,0.6088,0.0508
vis/image_loc/acc_val,0,0.1006,0.0084
vis/image_loc/acc_val,10,0.0925,0.0060
vis/image_loc/acc_val,20,0.0983,0.0133
vis/image_loc/acc_val,50,0.0880,0.0165
vis/image_loc/acc_val,100,0.0783,0.0209
text/inner/acc_val,0,0.9996,0.0003
text/inner/acc_val,10,0.8021,0.0264
text/inner/acc_val,20,0.6908,0.0070
text/inner/acc_val,50,0.6558,0.0107
text/inner/acc_val,100,0.6193,0.0071
text/edit/acc_val,0,0.9913,0.0044
text/edit/acc_val,10,0.7554,0.0308
text/edit/acc_val,20,0.6509,0.0055
text/edit/acc_val,50,0.6338,0.0132
text/edit/acc_val,100,0.6031,0.0081
text/loc/acc_val,0,0.6584,0.0451
text/loc/acc_val,10,0.6698,0.0320
text/loc/acc_val,20,0.6528,0.0316
text/loc/acc_val,50,0.6574,0.0378
text/loc/acc_val,100,0.6088,0.0508
port/acc_val,0,0.8060,0.0240
port/acc_val,10,0.6114,0.0070
port/acc_val,20,0.5783,0.0065
port/acc_val,50,0.5654,0.0104
port/acc_val,100,0.5417,0.0063
